name,backbone,pooling,target,richer_aug,era,k,mae_mean,mae_std,rmse_mean,rmse_std,me_mean,me_std,mape_mean,mape_std,r2_mean,r2_std,protocol
base_densenet201,densenet201,grid3,raw,off,era2019,5,9.5645,2.3687,12.5491,3.1483,-2.1285,4.9139,14.1271,2.1926,0.8731,0.0648,
e2_effb0,efficientnetb0,grid2,raw,off,era2019,5,12.5301,2.163,16.457,2.8748,-3.8002,6.1807,18.4017,4.752,0.7879,0.0706,
e2_effb1,efficientnetb1,grid2,raw,off,era2019,5,13.44,3.1603,17.4509,5.1181,-2.4742,5.7608,19.3218,4.6268,0.7483,0.1455,
e2_effb2,efficientnetb2,grid2,raw,off,era2019,5,13.831,3.9569,19.0165,6.2549,-1.8567,5.635,21.245,5.578,0.6958,0.1925,
e2_effb3,efficientnetb3,grid2,raw,off,era2019,5,13.3244,3.0464,17.4121,5.217,-5.1985,6.7231,18.0074,2.6234,0.7496,0.1528,
e3_densenet201_sincos,densenet201,grid3,sincos2theta,off,era2019,5,8.4265,6.0772,11.8205,10.122,0.4064,3.6225,12.7552,10.2618,0.8146,0.2991,
e1_densenet201_richer,densenet201,grid3,raw,safe,era2019,5,9.7732,2.4396,12.9568,3.9807,-1.7838,5.3397,14.388,2.2098,0.8609,0.0879,
f_effv2b0,efficientnetv2b0,grid2,raw,off,modern,5,13.2995,4.0656,17.19,5.3015,-4.9852,5.4674,18.3052,2.5112,0.7547,0.1553,
f_effv2b1,efficientnetv2b1,grid2,raw,off,modern,5,12.1197,2.2756,15.5236,3.1345,-3.9022,5.7522,17.2257,2.5193,0.8096,0.0756,
f_effv2b2,efficientnetv2b2,grid2,raw,off,modern,5,12.6479,2.5372,16.0665,3.2742,-4.6394,5.241,17.9356,2.6339,0.7961,0.0862,
f_effv2b3,efficientnetv2b3,grid2,raw,off,modern,5,13.6498,3.029,17.6898,4.5959,-3.7351,6.5232,19.5292,3.3891,0.7466,0.1323,
f_convnext_tiny,convnext_tiny,grid2,raw,off,modern,5,12.816,4.1256,16.82,5.6832,-9.0385,6.6772,16.0744,3.1028,0.7614,0.1564,
f_convnext_base,convnext_base,grid2,raw,off,modern,5,12.4874,3.0242,16.5248,4.4621,-8.7218,4.1778,15.6464,1.7459,0.778,0.1151,
tuned_densenet201,densenet201,grid3,raw,off,replication,5,8.9533,3.6408,11.8941,5.0634,-5.0527,5.6916,11.0643,2.2644,0.8736,0.1098,
tuned_resnet50,resnet50,grid2,raw,off,replication,5,9.5189,4.2357,12.6443,6.0744,-1.9783,5.2366,13.072,2.9271,0.8513,0.1527,
tuned_vgg19,vgg19,grid2,raw,off,replication,5,9.6834,1.0503,12.2555,1.4029,-0.1706,2.7702,14.1997,3.8594,0.8843,0.0254,
tuned_xception,xception,grid2,raw,off,replication,5,10.9002,2.9586,13.6525,3.3408,-2.9418,7.2286,14.7869,3.0141,0.8503,0.0709,
tuned_inceptionv3,inceptionv3,grid2,raw,off,replication,5,10.5586,1.9258,13.4693,2.2182,-1.3551,6.961,14.6142,4.1379,0.8585,0.0426,
tuned_densenet201_patient,densenet201,grid3,raw,off,replication,5,8.6242,3.4441,11.388,4.5369,-4.568,5.8462,10.8013,2.5933,0.8863,0.0916,patient
tuned_densenet201_image,densenet201,grid3,raw,off,replication,5,3.0036,0.0766,4.0299,0.1982,-0.2518,0.5674,4.0338,0.1208,0.9877,0.0009,image
tuned_resnet50_patient,resnet50,grid2,raw,off,replication,5,9.7858,4.4415,12.9413,6.4177,-2.4646,5.3878,13.2962,3.3108,0.8423,0.165,patient
tuned_resnet50_image,resnet50,grid2,raw,off,replication,5,3.6391,0.1726,4.9437,0.331,-0.2282,0.4085,4.8358,0.2705,0.9814,0.0021,image
tuned_vgg19_patient,vgg19,grid2,raw,off,replication,5,10.2141,0.8189,12.9846,1.2061,-0.687,2.8814,14.97,4.3519,0.8707,0.0235,patient
tuned_vgg19_image,vgg19,grid2,raw,off,replication,5,4.225,0.3884,5.6281,0.5348,-0.2038,0.5869,5.7884,0.722,0.9758,0.0042,image
tuned_xception_patient,xception,grid2,raw,off,replication,5,10.8754,3.0707,13.5862,3.4285,-2.5954,7.4666,14.7576,2.5992,0.8512,0.0741,patient
tuned_xception_image,xception,grid2,raw,off,replication,5,4.7496,0.269,6.3291,0.3505,0.1257,0.3511,6.5892,0.4908,0.9695,0.0034,image
tuned_inceptionv3_patient,inceptionv3,grid2,raw,off,replication,5,10.6613,2.0357,13.5861,2.3721,-1.8638,6.6631,14.6633,3.7601,0.8556,0.0468,patient
tuned_inceptionv3_image,inceptionv3,grid2,raw,off,replication,5,4.6809,0.2058,6.2316,0.3034,0.3904,0.3985,6.5884,0.3859,0.9704,0.0033,image
cmp_densenet201_patient,densenet201,grid3,raw,off,replication,5,9.5912,3.2301,12.4577,4.2964,-4.8385,5.8521,12.5898,2.1547,0.8685,0.0913,patient
cmp_densenet201_image,densenet201,grid3,raw,off,replication,5,3.1666,0.3297,4.2025,0.4545,-0.6583,0.4603,4.5839,0.4754,0.9865,0.0026,image
cmp_vgg19_patient,vgg19,grid2,raw,off,replication,5,15.9184,5.6711,21.1414,6.8707,-10.5884,7.7399,20.6039,4.4383,0.6258,0.2212,patient
cmp_vgg19_image,vgg19,grid2,raw,off,replication,5,6.3611,0.2392,8.7218,0.5474,-2.2226,0.3293,8.6407,0.5453,0.9421,0.0068,image
cmp_resnet50_patient,resnet50,grid2,raw,off,replication,5,13.1802,4.3325,17.5453,6.2085,-9.9609,6.1717,16.116,2.0926,0.7378,0.1941,patient
cmp_resnet50_image,resnet50,grid2,raw,off,replication,5,5.1178,0.3405,6.8919,0.7493,-2.8314,0.3026,6.9033,0.5397,0.9637,0.0073,image
cmp_xception_patient,xception,grid2,raw,off,replication,5,12.4385,2.1891,16.5881,3.0884,-6.1498,6.3319,17.1139,3.2228,0.7837,0.0741,patient
cmp_xception_image,xception,grid2,raw,off,replication,5,4.9496,0.163,6.5708,0.2309,-0.614,0.3572,7.1412,0.4532,0.9672,0.0024,image
cmp_inceptionv3_patient,inceptionv3,grid2,raw,off,replication,5,13.7549,3.3334,17.9009,4.2637,-9.9758,6.4973,17.2884,2.3754,0.7428,0.1104,patient
cmp_inceptionv3_image,inceptionv3,grid2,raw,off,replication,5,5.6123,0.1023,7.3666,0.1677,-1.967,0.348,7.8467,0.4483,0.9587,0.0026,image
gap_densenet201_patient,densenet201,avg,raw,off,replication,5,13.4997,3.8955,18.3687,6.1523,-4.3598,5.7612,18.7027,3.2388,0.7157,0.1923,patient
gap_densenet201_image,densenet201,avg,raw,off,replication,5,7.0481,0.4034,9.1434,0.6083,-0.6261,0.4199,10.8456,0.8107,0.9365,0.0065,image
